"specie_name","specie_code"
"Cycleptus elongatus","1022872"
"Deltistes luxatus","1020084"
"Catostomus catostomus","158706"
"Catostomus commersoni","1620171"
"Catostomus latipinnis","1383080"
"Catostomus macrocheilus","567524"
"Catostomus tahoensis","1020100"
"Moxostoma congestum","1021624"
"Moxostoma erythrurum","1022856"
"Moxostoma macrolepidotum","593217"
"Lagochila lacera","1422271"
"Ictiobus cyprinellus","1044802"
"Myxocyprinus asiaticus","1389902"
"Carpiodes carpio","890545"
"Xyrauchen texanus","1021240"
"Chasmistes cujus","1383103"
"Minytrema melanops","1022836"
"Erimyzon sucetta","-999"
"Hypentelium nigricans","1022874"
"Catostomidae","154179"
"Abramis brama","154281"
"Cyprinus carpio","154582"
"Cyprinus pellegrini","1015593"
"Aaptosyax grypus","1011282"
"Abbottina rivularis","1018726"
"Acanthalburnus microlepis","1535710"
"Tinca tinca","154343"
"Acapoeta tanganicae","1018977"
"Alburnus alburnus","154285"
"Alburnus albidus","1022107"
"Barbus barbus","154292"
"Barbus meridionalis","1022733"
"Barbus canis","1022206"
"Barbus aeneus","1622464"
"Barbus capensis","1022279"
"Barbus haasi","1525641"
"Barbus holotaenia","1471212"
"Barbus johnstonii","1531727"
"Barbus macrotaenia","1568419"
"Barbus neumayeri","1165238"
"Barbus longiceps","1044793"
"Barbus plebejus","1022195"
"Barbus altianalis","-999"
"Barbus altidorsalis","1018232"
"Barbus callensis","1022232"
"Barbus eurystomus","1624034"
"Barbus lineomaculatus","1470272"
"Barbus unitaeniatus","1423449"
"Barbus paludinosus","1214763"
"Barbus perince","1165236"
"Barbus mattozi","1042348"
"Barbus marequensis","1017459"
"Barbus trimaculatus","1418685"
"Barbus tropidolepis","1018981"
"Barbus cyclolepis","1015365"
"Chondrostoma nasus","154585"
"Chondrostoma toxostoma","1475746"
"Chondrostoma polylepis","1388681"
"Chondrostoma soetta","1022106"
"Chondrostoma genei","1623386"
"Agosia chrysogaster","1021385"
"Carassius carassius","154297"
"Carassius auratus","154298"
"Carassius cuvieri","1021969"
"Carassius gibelio","234033"
"Gobio gobio","154316"
"Gobio albipinnatus","1479772"
"Rutilus rutilus","154333"
"Rutilus frisii","275346"
"Rutilus rubilio","1623356"
"Rutilus alburnoides","1475753"
"Rutilus lemmingii","1535410"
"Rutilus caspicus","307935"
"Scardinius erythrophthalmus","154165"
"Leuciscus idus","154324"
"Leuciscus cephaloides","1529986"
"Leuciscus leuciscus","154599"
"Leuciscus borysthenicus","1469446"
"Leuciscus polylepis","1535419"
"Leuciscus pyrenaicus","1387572"
"Leuciscus schmidti","1019270"
"Leuciscus bergi","1016310"
"Leuciscus baicalensis","1020385"
"Rhodeus amarus","154331"
"Rhodeus ocellatus","1015520"
"Rhodeus sericeus","-999"
"Tribolodon taczanowskii","315873"
"Tribolodon hakonensis","283042"
"Tribolodon brandtii","283040"
"Labeo angra","1026463"
"Labeo bata","1022798"
"Labeo boga","1022799"
"Labeo calbasu","281238"
"Labeo dero","1455980"
"Labeo dussumieri","1022166"
"Labeo fimbriatus","1022460"
"Labeo gonius","1026571"
"Labeo kontius","1026583"
"Labeo microphthalmus","1020180"
"Labeo nandina","1026588"
"Labeo pangusia","1026589"
"Labeo rohita","281240"
"Labeo sindensis","1534845"
"Labeo altivelis","1021700"
"Labeo coubie","1013812"
"Labeo cylindricus","1016913"
"Labeo darlingi","1017104"
"Labeo forskalii","1022581"
"Labeo fuelleborni","1470233"
"Labeo horie","1021930"
"Labeo mesops","1016216"
"Labeo niloticus","1021956"
"Labeo victorianus","1018659"
"Labeo capensis","1019406"
"Labeo dyocheilus","1026570"
"Labeo rosae","1017093"
"Labeo umbratus","1017481"
