"","specie_name","specie_code"
"1","Cycleptus elongatus","1022872"
"2","Deltistes luxatus","1020084"
"3","Catostomus catostomus","158706"
"4","Catostomus commersoni","1620171"
"5","Catostomus latipinnis","1383080"
"6","Catostomus macrocheilus","567524"
"7","Catostomus tahoensis","1020100"
"8","Moxostoma congestum","1021624"
"9","Moxostoma erythrurum","1022856"
"10","Moxostoma macrolepidotum","593217"
"11","Lagochila lacera","1422271"
"12","Ictiobus cyprinellus","1044802"
"13","Myxocyprinus asiaticus","1389902"
"14","Carpiodes carpio","890545"
"15","Xyrauchen texanus","1021240"
"16","Chasmistes cujus","1383103"
"17","Minytrema melanops","1022836"
"18","Erimyzon sucetta","-999"
"19","Hypentelium nigricans","1022874"
"20","Catostomidae","154179"
"21","Abramis brama","154281"
"22","Cyprinus carpio","154582"
"23","Cyprinus pellegrini","1015593"
"24","Aaptosyax grypus","1011282"
"25","Abbottina rivularis","1018726"
"26","Acanthalburnus microlepis","1535710"
"27","Tinca tinca","154343"
"28","Acapoeta tanganicae","1018977"
"29","Alburnus alburnus","154285"
"30","Alburnus albidus","1022107"
"31","Barbus barbus","154292"
"32","Barbus meridionalis","1022733"
"33","Barbus canis","1022206"
"34","Barbus aeneus","1622464"
"35","Barbus capensis","1022279"
"36","Barbus haasi","1525641"
"37","Barbus holotaenia","1471212"
"38","Barbus johnstonii","1531727"
"39","Barbus macrotaenia","1568419"
"40","Barbus neumayeri","1165238"
"41","Barbus longiceps","1044793"
"42","Barbus plebejus","1022195"
"43","Barbus altianalis","-999"
"44","Barbus altidorsalis","1018232"
"45","Barbus callensis","1022232"
"46","Barbus eurystomus","1624034"
"47","Barbus lineomaculatus","1470272"
"48","Barbus unitaeniatus","1423449"
"49","Barbus paludinosus","1214763"
"50","Barbus perince","1165236"
"51","Barbus mattozi","1042348"
"52","Barbus marequensis","1017459"
"53","Barbus trimaculatus","1418685"
"54","Barbus tropidolepis","1018981"
"55","Barbus cyclolepis","1015365"
"56","Chondrostoma nasus","154585"
"57","Chondrostoma toxostoma","1475746"
"58","Chondrostoma polylepis","1388681"
"59","Chondrostoma soetta","1022106"
"60","Chondrostoma genei","1623386"
"61","Agosia chrysogaster","1021385"
"62","Carassius carassius","154297"
"63","Carassius auratus","154298"
"64","Carassius cuvieri","1021969"
"65","Carassius gibelio","234033"
"66","Gobio gobio","154316"
"67","Gobio albipinnatus","1479772"
"68","Rutilus rutilus","154333"
"69","Rutilus frisii","275346"
"70","Rutilus rubilio","1623356"
"71","Rutilus alburnoides","1475753"
"72","Rutilus lemmingii","1535410"
"73","Rutilus caspicus","307935"
"74","Scardinius erythrophthalmus","154165"
"75","Leuciscus idus","154324"
"76","Leuciscus cephaloides","1529986"
"77","Leuciscus leuciscus","154599"
"78","Leuciscus borysthenicus","1469446"
"79","Leuciscus polylepis","1535419"
"80","Leuciscus pyrenaicus","1387572"
"81","Leuciscus schmidti","1019270"
"82","Leuciscus bergi","1016310"
"83","Leuciscus baicalensis","1020385"
"84","Rhodeus amarus","154331"
"85","Rhodeus ocellatus","1015520"
"86","Rhodeus sericeus","-999"
"87","Tribolodon taczanowskii","315873"
"88","Tribolodon hakonensis","283042"
"89","Tribolodon brandtii","283040"
"90","Labeo angra","1026463"
"91","Labeo bata","1022798"
"92","Labeo boga","1022799"
"93","Labeo calbasu","281238"
"94","Labeo dero","1455980"
"95","Labeo dussumieri","1022166"
"96","Labeo fimbriatus","1022460"
"97","Labeo gonius","1026571"
"98","Labeo kontius","1026583"
"99","Labeo microphthalmus","1020180"
"100","Labeo nandina","1026588"
"101","Labeo pangusia","1026589"
"102","Labeo rohita","281240"
"103","Labeo sindensis","1534845"
"104","Labeo altivelis","1021700"
"105","Labeo coubie","1013812"
"106","Labeo cylindricus","1016913"
"107","Labeo darlingi","1017104"
"108","Labeo forskalii","1022581"
"109","Labeo fuelleborni","1470233"
"110","Labeo horie","1021930"
"111","Labeo mesops","1016216"
"112","Labeo niloticus","1021956"
"113","Labeo victorianus","1018659"
"114","Labeo capensis","1019406"
"115","Labeo dyocheilus","1026570"
"116","Labeo rosae","1017093"
"117","Labeo umbratus","1017481"
"118","Labeo chrysophekadion","1020116"
"119","Labeo congoro","1017303"
"120","Cirrhinus cirrhosus","280191"
"121","Cirrhinus molitorella","1026709"
"122","Cirrhinus mrigala","314143"
"123","Cirrhinus reba","1026594"
"124","Cirrhinus microlepis","1019851"
"125","Algansea lacustris","1019310"
"126","Aspidoparia jaya","1026582"
"127","Aspidoparia morar","1534501"
"128","Albulichthys albuloides","279543"
"129","Catlocarpio siamensis","1019120"
"130","Chagunius chagunio","1026488"
"131","Chela cachius","280139"
"132","Chela laubuca","280140"
"133","Crossocheilus latius","280436"
"134","Ctenopharyngodon idella","-999"
"135","Cyclocheilichthys enoplos","1026308"
"136","Cyclocheilichthys apogon","1015573"
"137","Cyclocheilichthys dumerilii","1020005"
"138","Cyclocheilichthys armatus","1418417"
"139","Danio aequipinnatus","1488257"
"140","Danio dangila","1026565"
"141","Danio devario","1488258"
"142","Danio rerio","1026595"
"143","Danio frankei","1623995"
"144","Alburnoides bipunctatus","154288"
"145","Gila nigrescens","1021597"
"146","Gila atraria","1019977"
"147","Gila bicolor","1536768"
"148","Gila cypha","1014367"
"149","Gila elegans","1021645"
"150","Gila robusta","1014229"
"151","Hampala dispar","1015493"
"152","Hampala macrolepidota","1020769"
"153","Hampala salweenensis","1008630"
"154","Hypophthalmichthys molitrix","154319"
"155","Hypophthalmichthys nobilis","154600"
"156","Labeobarbus bynni","1026004"
"157","Labiobarbus leptocheilus","-999"
"158","Labiobarbus festivus","1418507"
"159","Labiobarbus fasciatus","1018594"
"160","Labiobarbus ocellatus","1021717"
"161","Labiobarbus siamensis","1015553"
"162","Amblyrhynchichthys truncatus","1021827"
"163","Anabarilius polylepis","1018613"
"164","Anabarilius grahami","1018181"
"165","Notemigonus crysoleucas","-999"
"166","Gibelion catla","318166"
"167","Osteochilus hasselti","1620025"
"168","Osteochilus melanopleurus","1621460"
"169","Osteochilus spilurus","1021685"
"170","Pogonichthys macrolepidotus","282310"
"171","Probarbus jullieni","282356"
"172","Ptychocheilus grandis","1021495"
"173","Rasbora daniconius","282550"
"174","Rasbora elanga","1534504"
"175","Rasbora heteromorpha","1471209"
"176","Rasbora rasbora","282551"
"177","Rasbora argyrotaenia","1021906"
"178","Rasbora einthovenii","1026704"
"179","Rasbora elegans","1018679"
"180","Rasbora tawarensis","1017128"
"181","Thynnichthys sandkhol","1022519"
"182","Thynnichthys thynnoides","1015067"
"183","Thynnichthys vaillanti","1017127"
"184","Tor tambroides","1021640"
"185","Tor putitora","1026593"
"186","Tor tor","1026602"
"187","Tor khudree","1026321"
"188","Tor douronensis","1022221"
"189","Tor soro","1022171"
"190","Tor tambra","1022217"
"191","Barilius barila","1026471"
"192","Barilius barna","1059784"
"193","Barilius bola","1488254"
"194","Barilius shacra","1026597"
"195","Barilius tileo","1534482"
"196","Barilius vagra","1026607"
"197","Barilius bakeri","1020926"
"198","Barilius bendelisis","1011904"
"199","Brachydanio acuticephala","1624496"
"200","Notropis atherinoides","567536"
"201","Notropis bairdi","1015952"
"202","Notropis boops","1019858"
"203","Notropis dorsalis","1017717"
"204","Notropis girardi","1015954"
"205","Notropis heterodon","1420801"
"206","Notropis heterolepis","1017934"
"207","Notropis hudsonius","567537"
"208","Notropis longirostris","1060178"
"209","Notropis lutipinnis","1060173"
"210","Notropis nubilus","1423125"
"211","Notropis rubellus","1020944"
"212","Notropis rupestris","1011677"
